src_selfies,tgt_selfies,src_qed,tgt_qed,src_smiles,tgt_smiles,pair_similarity
[C][NH1+1][Branch1][C][C][C][Branch1][C][C][Branch1][C][C][C][N][C][=Branch1][C][=O][N][C][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][Ring1][Branch2],[C][C@H1][Branch1][C][O][C][NH1+1][Branch2][Ring1][#Branch1][C][C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][=Branch1][C][=O][N][Ring1][Branch2][C][C][C][C][C][C][Ring1][=Branch1],0.5297975094159398,0.7012211564383652,C[NH+](C)C(C)(C)CNC(=O)NCCOc1ccc2c(c1)CCC(=O)N2,C[C@H](O)C[NH+](CCOc1ccc2c(c1)CCC(=O)N2)C1CCCCC1,0.4507042253521127
[C][O][C][=C][C][=C][Branch2][Ring1][Branch1][N][C][=Branch1][C][=O][C][N][N][=C][Branch1][C][C][C][Branch1][C][N][=C][Ring1][#Branch1][C][C][=N][Ring2][Ring1][C],[C][C][=C][C][=C][Branch2][Ring1][Ring1][N][C][=Branch1][C][=O][C][O][C][=C][C][=C][Branch1][C][Br][C][=N][Ring1][#Branch1][C][=C][Ring2][Ring1][C],0.8715903470722336,0.9409261967626341,COc1ccc(NC(=O)Cn2nc(C)c(N)c2C)cn1,Cc1ccc(NC(=O)COc2ccc(Br)cn2)cc1,0.3728813559322034
[C][C][C@H1][Branch1][C][C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][C][O][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],[C][O][C][=C][C][=C][Branch1][P][N][C][=Branch1][C][=O][N][Branch1][C][C][C@@H1][Branch1][C][C][C][S][C][C][=N][Ring1][S],0.8272311911120148,0.8908941701182154,CC[C@H](C)N(C)C(=O)NCCOc1cccc2ccccc12,COc1ccc(NC(=O)N(C)[C@@H](C)CSC)cn1,0.35
[C][C][C][C][=N][NH1][C][Branch2][Ring1][=N][C@@H1][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C@H1][Branch1][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][O][Ring1][P][=N][Ring2][Ring1][=Branch1],[O][=C][Branch1][=C][C][C@H1][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][C][O][C@@H1][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][C][Ring1][O],0.8673209711008996,0.9431571945827927,CCCc1n[nH]c([C@@H]2CN(C(=O)[C@H](OC)c3ccccc3)CCO2)n1,O=C(C[C@H](O)c1ccccc1)N1CCO[C@@H](c2cccs2)C1,0.3835616438356164
[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C@H1][C][C][C][N][Ring1][Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1],[C][C@@H1][C][C@@H1][Branch1][C][C][C][N][Branch2][Ring1][#Branch2][C][=Branch1][C][=O][C][=Branch1][C][=O][N][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1][C][Ring2][Ring1][=Branch1],0.7157648623712877,0.8031759801035694,CC(C)(C)NC(=O)CNC(=O)[C@H]1CCCN1S(=O)(=O)c1ccc2c(c1)OCCO2,C[C@@H]1C[C@@H](C)CN(C(=O)C(=O)Nc2ccc3c(c2)OCCO3)C1,0.35294117647058826
[C][C][=C][C][=C][Branch2][Ring2][Ring1][N][N][=C][Branch1][C][C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=Branch1][C][=O][N][Branch1][C][C][C][C][=Branch1][C][=O][N][C][Branch1][C][C][C][C][=C][Ring2][Ring1][#Branch2],[C][C][C][=C][Branch2][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][C][Ring1][=Branch1][Branch1][C][C][C][N][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][N][=Ring2][Ring1][#Branch1],0.7769310779908805,0.9146994237603544,Cc1ccc(-n2nc(C)cc2NC(=O)C(=O)N(C)CC(=O)NC(C)C)cc1,Cc1cc(NC(=O)[C@H]2[C@@H](C(=O)[O-])C2(C)C)n(-c2ccc(F)cc2)n1,0.3880597014925373
[C][C][C][NH2+1][C][C][=N][C][Branch1][=Branch2][C][=C][S][C][=C][Ring1][Branch1][C][=N][O][Ring1][O],[C][C][=C][S][C][=C][Ring1][Branch1][C][=N][O][C][Branch1][#Branch2][C][C@H1][C][S][C][C][NH2+1][Ring1][=Branch1][=N][Ring1][N],0.8045934149285644,0.9225062353292449,CCC[NH2+]Cc1nc(-c2cscc2C)no1,Cc1cscc1-c1noc(C[C@H]2CSCC[NH2+]2)n1,0.4727272727272727
[C][O][C][=C][C][=C][Branch2][Ring2][Ring1][N][C@@H1][C][C][C][N][Branch2][Ring1][=Branch1][C][=Branch1][C][=O][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch2],[C][O][C][=C][C][=C][Branch2][Ring2][C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][C][C][N][Branch1][S][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Ring1][#C][C][=C][Ring2][Ring1][=Branch2],0.7358312688114027,0.8479855678051258,COc1ccc(N[C@@H]2CCCN(C(=O)CCC(=O)c3ccc(F)cc3)C2)cc1,COc1ccc(S(=O)(=O)NC2CCN(C(=O)c3cccc(F)c3)CC2)cc1,0.35135135135135137
[C][C][N][Branch2][Ring1][Ring1][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][Ring1][O][C][N][=C][Ring1][Branch2][C@@H1][Branch1][C][C][C][S][Branch1][C][C][=Branch1][C][=O][=O],[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][O][C@@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][Branch1][#Branch1][O][C][Branch1][C][C][C][N][=C][Ring1][#Branch2][C][Ring2][Ring1][=Branch1],0.8077073668811409,0.9084524820243461,CCN(C(=O)NCc1ccc(OC)nc1)[C@@H](C)CS(C)(=O)=O,Cc1cc2c(cc1C)O[C@@H](C(=O)NCc1ccc(OC(C)C)nc1)C2,0.38028169014084506
[C][C@@H1][C][C@H1][Branch1][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][N][Ring1][N][C][=Branch1][C][=O][N][C][C][C][C][C][NH1+1][Branch1][C][C][C][C][Ring1][#Branch1],[C][O][C@@H1][Branch2][Ring1][Ring1][C][N][C][=Branch1][C][=O][N][C][C@@H1][Branch1][C][C][C][C][C@H1][Ring1][#Branch1][C][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1],0.8582849766350188,0.9266068255982918,C[C@@H]1C[C@H](c2ccc(F)cc2)CN1C(=O)NCCC1CC[NH+](C)CC1,CO[C@@H](CNC(=O)N1C[C@@H](C)CC[C@H]1C)c1ccc(F)cc1,0.3939393939393939
